resume_id,class,resume_text
resume_11,flagged,
resume_12,not_flagged,
resume_13,not_flagged,
resume_14,not_flagged,
resume_15,not_flagged,
resume_16,flagged,
resume_17,not_flagged,
resume_18,flagged,
resume_19,flagged,
resume_20,not_flagged,
resume_21,not_flagged,
resume_22,not_flagged,
resume_23,not_flagged,
resume_24,flagged,
resume_25,flagged,
resume_26,not_flagged,
resume_27,not_flagged,
resume_28,flagged,
resume_29,not_flagged,
resume_30,not_flagged,
resume_31,not_flagged,
resume_32,flagged,
resume_33,flagged,
resume_34,flagged,
resume_35,not_flagged,
resume_36,not_flagged,
resume_37,not_flagged,
resume_38,not_flagged,
resume_39,flagged,
resume_40,flagged,
resume_41,not_flagged,
resume_42,not_flagged,
resume_43,flagged,
resume_44,not_flagged,
resume_45,not_flagged,
resume_46,not_flagged,
resume_47,not_flagged,
resume_48,not_flagged,
resume_49,not_flagged,
resume_50,flagged,
resume_51,not_flagged,
resume_52,not_flagged,
resume_53,flagged,
resume_54,not_flagged,
resume_55,not_flagged,
resume_56,not_flagged,
resume_57,flagged,
resume_58,not_flagged,
resume_59,not_flagged,
resume_60,not_flagged,
resume_61,flagged,
resume_62,not_flagged,
resume_63,not_flagged,
resume_64,not_flagged,
resume_65,not_flagged,
resume_66,not_flagged,
resume_67,not_flagged,
resume_68,not_flagged,
resume_69,not_flagged,
resume_70,not_flagged,
resume_71,flagged,
resume_72,not_flagged,
resume_73,not_flagged,
resume_74,not_flagged,
resume_75,not_flagged,
resume_76,flagged,
resume_77,not_flagged,
resume_78,not_flagged,
resume_79,not_flagged,
resume_80,flagged,
resume_81,not_flagged,
resume_82,not_flagged,
resume_83,not_flagged,
resume_84,not_flagged,
resume_85,not_flagged,
resume_86,not_flagged,
resume_87,not_flagged,
resume_88,flagged,
resume_89,not_flagged,
resume_90,not_flagged,
resume_91,not_flagged,
resume_92,not_flagged,
resume_93,not_flagged,
resume_94,not_flagged,
resume_95,not_flagged,
resume_96,not_flagged,
resume_97,not_flagged,
resume_98,not_flagged,
resume_99,not_flagged,
resume_100,not_flagged,
resume_101,not_flagged,
resume_102,flagged,
resume_103,not_flagged,
resume_104,not_flagged,
resume_105,flagged,
resume_106,not_flagged,
resume_107,flagged,
resume_108,flagged,
resume_109,not_flagged,
resume_110,not_flagged,
resume_111,not_flagged,
resume_112,not_flagged,
resume_113,flagged,
resume_114,not_flagged,
resume_115,flagged,
resume_116,flagged,
resume_117,not_flagged,
resume_118,flagged,
resume_119,flagged,
resume_120,not_flagged,
resume_121,not_flagged,
resume_122,not_flagged,
resume_123,not_flagged,
resume_124,flagged,
resume_125,not_flagged,
